0,42,1,[42]
1,40,1,[42, 40]
2,17,1,[42, 40, 17]
3,20,1,[42, 40, 17, 20]
4,8,1,[42, 40, 17, 20, 8]
5,9,1,[40, 17, 20, 8, 9]
6,10,1,[17, 20, 8, 9, 10]
7,10,0,[17, 20, 8, 9, 10]
8,13,1,[20, 8, 9, 10, 13]
9,27,1,[8, 9, 10, 13, 27]
10,13,0,[8, 9, 10, 27, 13]
11,16,1,[9, 10, 27, 13, 16]
12,37,1,[10, 27, 13, 16, 37]
13,12,1,[27, 13, 16, 37, 12]
14,14,1,[13, 16, 37, 12, 14]
15,14,0,[13, 16, 37, 12, 14]
16,12,0,[13, 16, 37, 14, 12]
17,15,1,[16, 37, 14, 12, 15]
18,12,0,[16, 37, 14, 15, 12]
19,14,0,[16, 37, 15, 12, 14]
20,17,1,[37, 15, 12, 14, 17]
21,14,0,[37, 15, 12, 17, 14]
22,13,1,[15, 12, 17, 14, 13]
23,12,0,[15, 17, 14, 13, 12]
24,34,1,[17, 14, 13, 12, 34]
25,14,0,[17, 13, 12, 34, 14]
26,15,1,[13, 12, 34, 14, 15]
27,16,1,[12, 34, 14, 15, 16]
28,20,1,[34, 14, 15, 16, 20]
29,15,0,[34, 14, 16, 20, 15]
30,14,0,[34, 16, 20, 15, 14]
31,13,1,[16, 20, 15, 14, 13]
32,7,1,[20, 15, 14, 13, 7]
33,15,0,[20, 14, 13, 7, 15]
34,12,1,[14, 13, 7, 15, 12]
35,12,0,[14, 13, 7, 15, 12]
36,14,0,[13, 7, 15, 12, 14]
37,16,1,[7, 15, 12, 14, 16]
38,13,1,[15, 12, 14, 16, 13]
39,12,0,[15, 14, 16, 13, 12]
40,16,0,[15, 14, 13, 12, 16]
41,15,0,[14, 13, 12, 16, 15]
42,12,0,[14, 13, 16, 15, 12]
43,16,0,[14, 13, 15, 12, 16]
44,34,1,[13, 15, 12, 16, 34]
45,33,1,[15, 12, 16, 34, 33]
46,35,1,[12, 16, 34, 33, 35]
47,31,1,[16, 34, 33, 35, 31]
48,14,1,[34, 33, 35, 31, 14]
49,11,1,[33, 35, 31, 14, 11]
50,14,0,[33, 35, 31, 11, 14]
51,11,0,[33, 35, 31, 14, 11]
52,10,1,[35, 31, 14, 11, 10]
53,28,1,[31, 14, 11, 10, 28]
54,11,0,[31, 14, 10, 28, 11]
55,10,0,[31, 14, 28, 11, 10]
56,11,0,[31, 14, 28, 10, 11]
57,12,1,[14, 28, 10, 11, 12]
58,13,1,[28, 10, 11, 12, 13]
59,27,1,[10, 11, 12, 13, 27]
60,6,1,[11, 12, 13, 27, 6]
61,10,1,[12, 13, 27, 6, 10]
62,28,1,[13, 27, 6, 10, 28]
63,28,0,[13, 27, 6, 10, 28]
64,27,0,[13, 6, 10, 28, 27]
65,25,1,[6, 10, 28, 27, 25]
66,49,1,[10, 28, 27, 25, 49]
67,26,1,[28, 27, 25, 49, 26]
68,28,0,[27, 25, 49, 26, 28]
69,25,0,[27, 49, 26, 28, 25]
70,16,1,[49, 26, 28, 25, 16]
71,26,0,[49, 28, 25, 16, 26]
72,24,1,[28, 25, 16, 26, 24]
73,26,0,[28, 25, 16, 24, 26]
74,24,0,[28, 25, 16, 26, 24]
75,24,0,[28, 25, 16, 26, 24]
76,28,0,[25, 16, 26, 24, 28]
